lead_id,age,annual_income,company_size,industry,website_visits,emails_opened,demo_requested,response_time_hours,previous_purchase,converted
1,50,1408252,Small,Tech,7,6,1,27,0,1
2,36,1522108,Small,Healthcare,14,4,0,38,1,0
3,29,1963261,Small,Healthcare,6,9,1,58,1,1
4,42,897135,Small,Tech,5,4,0,62,0,0
5,40,1966471,Small,Retail,0,6,0,46,0,0
6,44,520178,Large,Healthcare,14,4,0,11,1,1
7,32,1498097,Medium,Finance,6,7,0,8,1,1
8,32,726752,Medium,Tech,16,5,1,71,1,1
9,45,888365,Large,Manufacturing,1,4,1,64,0,0
10,57,1124690,Large,Retail,8,8,1,21,0,1
11,45,1003662,Medium,Tech,8,1,0,63,0,0
12,24,1605585,Medium,Manufacturing,12,0,1,64,1,1
13,43,1486293,Medium,Manufacturing,5,7,0,20,1,1
14,23,1730491,Medium,Healthcare,5,2,1,8,1,1
15,45,862288,Medium,Healthcare,19,6,0,58,0,1
16,51,1899601,Small,Healthcare,19,9,0,46,1,1
17,59,600709,Large,Tech,2,7,0,31,1,0
18,23,1243026,Small,Tech,16,5,0,9,0,1
19,42,1534816,Medium,Retail,16,9,0,15,0,1
20,54,1925351,Medium,Healthcare,11,8,0,26,0,1
21,33,1623062,Medium,Manufacturing,15,6,0,10,0,1
22,43,1651526,Small,Finance,14,9,0,29,0,1
23,46,1659490,Small,Retail,12,4,0,36,0,0
24,48,1427199,Medium,Tech,0,7,0,37,0,0
25,49,1713897,Small,Retail,16,1,0,71,0,0
26,37,1317289,Small,Retail,2,6,0,23,0,0
27,36,1207425,Medium,Retail,14,3,0,41,1,1
28,24,483675,Small,Retail,3,8,1,28,0,0
29,58,1978811,Large,Finance,3,0,1,48,1,1
30,28,952465,Large,Healthcare,17,6,0,38,0,1
31,42,1565030,Large,Manufacturing,16,5,1,31,1,1
32,30,1298748,Large,Retail,18,7,1,14,0,1
33,39,1458151,Medium,Retail,10,4,1,29,1,1
34,25,1333024,Medium,Retail,19,0,0,51,0,0
35,46,1556182,Medium,Healthcare,2,0,0,49,1,0
36,35,805815,Large,Tech,7,8,0,43,0,0
37,30,1641398,Large,Tech,13,9,0,5,1,1
38,47,376218,Small,Finance,0,5,0,42,0,0
39,23,887518,Small,Tech,13,9,0,7,0,1
40,41,1070044,Large,Retail,1,4,1,42,0,0
41,49,1684775,Large,Retail,3,0,1,36,1,1
42,28,749589,Large,Retail,18,5,0,27,1,1
43,29,778446,Large,Finance,5,5,0,58,1,0
44,56,762052,Small,Retail,0,2,0,46,0,0
45,35,1682978,Large,Tech,16,7,1,66,0,1
46,38,1388562,Small,Healthcare,7,0,0,25,1,0
47,57,647739,Large,Healthcare,18,0,0,27,0,0
48,25,1974222,Large,Manufacturing,0,5,0,1,1,1
49,23,772327,Large,Tech,4,9,0,42,1,1
50,27,1675649,Small,Retail,15,0,0,52,1,1
51,25,897794,Small,Healthcare,5,5,0,25,0,0
52,50,334911,Medium,Tech,7,0,1,54,0,0
53,39,725037,Large,Healthcare,12,5,1,67,0,1
54,47,1030399,Medium,Retail,15,2,1,6,1,1
55,55,1278039,Medium,Healthcare,2,7,1,58,0,0
56,31,1199885,Small,Manufacturing,18,5,0,70,0,0
57,57,908746,Small,Manufacturing,11,0,0,53,0,0
58,35,1360751,Medium,Healthcare,15,4,1,66,0,1
59,52,1205667,Large,Tech,10,7,1,58,1,1
60,36,616915,Small,Tech,9,2,0,2,1,0
61,29,799876,Large,Tech,19,5,0,22,0,1
62,35,1994164,Large,Healthcare,3,4,0,37,0,0
63,44,911213,Medium,Tech,11,5,0,20,1,1
64,42,1068734,Medium,Retail,1,9,0,24,0,0
65,37,1414934,Medium,Manufacturing,18,0,0,65,1,0
66,39,1759119,Medium,Retail,4,6,0,65,1,0
67,45,347057,Small,Tech,7,8,0,1,0,0
68,47,1616870,Small,Retail,6,1,1,3,0,0
69,46,554726,Medium,Tech,13,9,0,46,1,1
70,50,578176,Small,Healthcare,2,4,0,55,0,0
71,36,1875062,Medium,Retail,17,9,0,64,0,1
72,22,1008754,Large,Healthcare,15,3,1,45,0,1
73,46,1237583,Large,Healthcare,18,5,0,26,0,1
74,28,1515868,Large,Finance,18,5,1,65,1,1
75,30,444931,Medium,Tech,17,1,0,24,1,0
76,45,1792252,Large,Manufacturing,19,1,1,35,1,1
77,22,462491,Small,Tech,15,3,1,24,0,1
78,29,1729585,Large,Manufacturing,7,0,0,28,0,0
79,45,701921,Large,Tech,0,8,0,16,1,1
80,32,560910,Large,Healthcare,16,6,0,59,0,0
81,38,1371812,Small,Retail,11,6,0,54,1,1
82,29,387955,Medium,Retail,10,2,0,16,0,0
83,56,927433,Small,Finance,4,2,0,15,1,0
84,56,1579361,Medium,Manufacturing,11,0,0,11,0,0
85,54,1443490,Medium,Manufacturing,16,2,0,65,0,0
86,26,507990,Large,Manufacturing,5,2,0,68,0,0
87,49,678387,Medium,Healthcare,0,3,0,43,0,0
88,28,838884,Small,Manufacturing,4,3,0,69,0,0
89,30,1296261,Small,Retail,13,2,0,13,1,1
90,29,1542845,Medium,Healthcare,4,9,0,10,1,1
91,33,692417,Large,Tech,0,7,0,41,1,0
92,55,1280020,Large,Manufacturing,17,7,1,50,1,1
93,54,438155,Small,Manufacturing,15,0,0,71,0,0
94,44,1469250,Large,Tech,8,6,0,59,0,0
95,45,1206739,Medium,Manufacturing,18,1,0,39,0,0
96,58,1605289,Medium,Tech,4,0,1,3,1,1
97,56,1790077,Small,Healthcare,1,2,1,7,0,0
98,43,843351,Medium,Retail,14,3,1,49,1,1
99,48,367642,Small,Tech,6,5,0,26,0,0
100,56,390093,Medium,Finance,3,9,0,33,1,0
101,22,1856182,Small,Tech,0,4,0,48,1,0
102,56,517215,Large,Manufacturing,12,3,0,2,0,0
103,58,335954,Medium,Healthcare,19,7,1,71,0,1
104,35,1376432,Medium,Healthcare,6,3,0,32,1,0
105,24,826861,Small,Tech,14,9,1,4,0,1
106,22,859655,Small,Retail,13,1,0,20,0,0
107,26,795553,Medium,Finance,18,2,1,36,1,1
108,47,1062092,Small,Healthcare,19,5,0,32,0,1
109,35,1186040,Medium,Manufacturing,17,7,0,28,1,1
110,48,622918,Large,Manufacturing,9,7,0,1,1,1
111,30,1372328,Small,Retail,8,8,0,60,0,0
112,36,1141461,Medium,Healthcare,7,6,0,56,0,0
113,36,448757,Large,Tech,9,1,1,35,0,0
114,47,1662413,Large,Manufacturing,16,7,0,30,1,1
115,34,416739,Medium,Retail,1,6,0,54,0,0
116,53,1586585,Small,Healthcare,5,7,0,36,1,1
117,53,1080316,Medium,Healthcare,4,2,0,55,0,0
118,25,1556556,Large,Healthcare,8,6,1,58,0,1
119,51,1605185,Medium,Healthcare,4,9,1,65,0,1
120,58,1737398,Small,Healthcare,17,8,1,69,0,1
121,44,636676,Large,Manufacturing,19,2,1,51,0,1
122,36,1692714,Medium,Retail,8,9,1,22,0,1
123,50,1666853,Small,Healthcare,16,5,0,53,0,1
124,57,1314929,Large,Finance,16,1,1,36,0,1
125,34,1866847,Small,Finance,11,1,0,68,0,0
126,53,623412,Large,Retail,6,4,0,36,1,0
127,28,785417,Medium,Tech,2,4,0,52,0,0
128,43,1780035,Small,Tech,9,6,1,53,0,1
129,49,488456,Large,Tech,1,1,1,50,1,0
130,23,855941,Small,Finance,2,6,0,41,0,0
131,27,1506305,Small,Tech,15,4,1,18,1,1
132,49,528504,Medium,Manufacturing,1,5,1,22,0,0
133,49,1994693,Small,Healthcare,9,7,0,66,0,0
134,41,952665,Large,Finance,5,9,0,21,1,1
135,51,1874486,Large,Retail,10,3,1,44,0,1
136,32,873044,Large,Retail,6,6,0,47,1,1
137,49,1389385,Large,Healthcare,14,5,0,39,0,1
138,46,1889589,Medium,Finance,5,9,0,29,1,1
139,54,1016756,Small,Tech,19,1,0,54,1,0
140,22,351226,Medium,Tech,8,7,1,17,0,1
141,48,799512,Small,Manufacturing,19,9,0,60,1,1
142,34,1954046,Small,Manufacturing,11,8,1,31,0,1
143,24,1824357,Small,Tech,18,4,1,49,1,1
144,27,1377978,Medium,Retail,19,9,1,2,0,1
145,29,1352839,Small,Retail,2,3,0,48,1,0
146,48,1340993,Medium,Manufacturing,14,5,0,14,0,0
147,30,1526476,Large,Healthcare,1,7,0,59,0,0
148,58,872212,Large,Tech,1,2,0,58,1,0
149,54,636326,Small,Manufacturing,2,9,1,58,1,1
